29,1.4,0.8621812701225281,0.2,3.5,1.6,67.8,0.11764705926179886,1.7,1.3,13.6,3.5,50.6,5,1,0
15.2,0.9,0.6531000584363937,0,1.9,1.1,47.8,0,1.1,0.9,15.2,5.1,54.7,4,1,0
27.7,1.1,0.7815187394618988,0.2,3.9,1.9,63.3,0.10000000149011612,2,1.1,11.9,3.9,52.6,5,1,0
19.3,0.7,0.5764094173908234,0,1.7,0.9,31.4,0,0.9,1.4,11.2,4.2,45.6,4,2,0
14.1,0.6,0.5769841253757477,0,1.2,0.5,23.2,0,1.1,1.5,10.6,4.1,43.8,4,3,0
13.3,0.6,0.5019841253757477,0,1.1,0.5,21.6,0,1.1,0.5,10.9,4.1,46.2,0,0,0
9.1,0.6,0.42817460298538207,0,0.7,0.3,14.3,0,1.2,1.6,10.9,4.2,46.5,3,2,0
9.1,0.6,0.42817460298538207,0,0.7,0.3,14.3,0,1.3,1,11.3,4.2,49.5,0,0,0
41.5,0.3,0.8838025450706481,0,1.3,0.9,74.9,0,0.7,1,12.2,3.3,46.6,2,1,0
42.1,0.5,0.8778501629829407,0,1.5,1,74.9,0,0.8,1.4,13,3.6,49.1,2,1,0
40.8,0.5,0.8649314999580383,0,1.5,1,74.9,0,0.7,1.8,13.4,3.7,49.1,2,1,0
40.9,0.6,0.8684074342250824,0,1.4,0.9,74.9,0,1,1.1,13.3,3.6,49.9,2,1,0
40.6,0.9,0.875561648607254,0,1.6,1.1,75.9,0,1.1,0.9,12.7,4,50.2,2,1,0
34.3,0.9,0.8610094070434571,0,1.4,0.9,67.7,0,1,1.6,12.9,3.9,46.9,2,1,0
36.8,1,0.875243854522705,0,1.4,0.9,69.9,0,1.1,1.4,12.1,3.5,47.9,3,3,0
31.1,1,0.7822613954544068,0,1.2,0.9,61.7,0,1.2,1.9,11.4,3.5,46,2,1,0
29.8,1,7.288143748044968,0,1.2,0.9,62.2,0,1.3,1.3,11.6,3.7,45,0,0,0
51.8,0.9,0.8378393650054932,0,1.4,1.2,90,0,1.6,2,13.3,4.8,48.3,3,2,0
